"ITU, Global ICT Developments",Bangladesh,.1,.2,3.7,4.5,5.0,6.6,13.9,14.4,18.0,15.0,
"ITU, Global ICT Developments",Belize,6.0,17.0,28.2,30.7,31.0,33.6,38.7,41.6,44.6,47.1,
"ITU, Global ICT Developments",Benin,.2,1.3,3.1,4.1,4.5,4.9,6.0,11.3,12.0,20.0,
"ITU, Global ICT Developments",Botswana,2.9,3.3,6.0,9.0,16.0,30.0,36.7,37.3,39.4,47.0,
"ITU, Global ICT Developments",Brazil,2.9,21.0,40.7,45.7,48.6,51.0,54.6,58.3,60.9,67.5,
"ITU, Global ICT Developments",Burkina Faso,.1,.5,2.4,3.0,3.7,9.1,9.4,14.0,14.0,16.0,
"ITU, Global ICT Developments",Burundi,.1,.5,1.0,1.1,1.2,1.3,1.4,4.9,5.2,2.7,
"ITU, Global ICT Developments",Canada,51.3,71.7,80.3,83.0,83.0,85.8,87.1,90.0,91.2,91.0,
"ITU, Global ICT Developments",China,1.8,8.5,34.3,38.3,42.3,45.8,47.9,50.3,53.2,54.3,
"ITU, Global ICT Developments",Colombia,2.2,11.0,36.5,40.4,49.0,51.7,52.6,55.9,58.1,62.3,
"ITU, Global ICT Developments",Congo (Rep.),.0,1.5,5.0,5.6,6.1,6.6,7.1,7.6,8.1,8.7,
"ITU, Global ICT Developments",Cuba,.5,9.7,15.9,16.0,21.2,27.9,29.1,37.3,43.0,57.1,
"ITU, Global ICT Developments",Dem. People's Rep. of Korea,0.0,0.0,0.0,0.0,0.0,,,,,,
"ITU, Global ICT Developments",Dominica,8.8,38.5,47.5,48.6,49.8,51.0,57.5,65.0,67.0,69.6,
"ITU, Global ICT Developments",Ecuador,1.5,6.0,29.0,31.4,35.1,40.3,45.6,48.9,54.1,57.3,
"ITU, Global ICT Developments",Equatorial Guinea,.1,1.1,6.0,11.5,13.9,16.4,18.9,21.3,23.8,26.2,
"ITU, Global ICT Developments",Eritrea,.1,,.6,.7,.8,.9,1.0,1.1,1.2,1.3,
"ITU, Global ICT Developments",Fiji,1.5,8.5,20.0,28.0,33.7,35.2,37.4,42.5,46.5,50.0,
"ITU, Global ICT Developments",Gabon,1.2,4.9,13.0,18.0,24.0,30.5,38.1,45.8,48.1,62.0,
"ITU, Global ICT Developments",Ghana,.2,1.8,7.8,9.0,10.6,15.0,25.5,25.0,34.7,39.0,
"ITU, Global ICT Developments",Guinea-Bissau,.2,1.9,2.5,2.7,2.9,3.1,3.3,3.5,3.8,3.9,
"ITU, Global ICT Developments",Guyana,6.6,,29.9,30.0,30.5,31.0,32.0,34.0,35.7,37.3,
"ITU, Global ICT Developments",India,.5,2.4,7.5,10.1,12.6,15.1,21.0,17.0,22.0,34.5,
"ITU, Global ICT Developments",Israel,20.9,25.2,67.5,68.9,70.8,70.3,75.0,77.4,79.7,81.6,
"ITU, Global ICT Developments",Jordan,2.6,12.9,27.2,34.9,37.0,41.4,46.2,60.1,62.3,66.8,
"ITU, Global ICT Developments",Kiribati,1.8,4.0,9.1,10.0,10.7,11.5,12.3,13.0,13.7,14.6,
"ITU, Global ICT Developments",Lebanon,8.0,10.1,43.7,52.0,61.2,70.5,73.0,74.0,76.1,78.2,
"ITU, Global ICT Developments",Lesotho,.2,2.6,3.9,7.0,10.0,15.0,22.0,25.0,27.4,29.0,
"ITU, Global ICT Developments",Maldives,2.2,6.9,26.5,34.0,38.9,44.1,49.3,54.5,59.1,63.2,
"ITU, Global ICT Developments",Mauritania,.2,.7,4.0,4.5,5.0,6.2,10.7,15.2,18.0,20.8,
"ITU, Global ICT Developments",Micronesia,3.7,11.9,20.0,22.8,26.0,27.8,29.7,31.5,33.4,35.3,
"ITU, Global ICT Developments",Moldova,1.3,14.6,32.3,38.0,43.4,60.0,67.0,69.0,71.0,76.1,
"ITU, Global ICT Developments",Nauru,,,,54.0,,,,,,57.0,
"ITU, Global ICT Developments",Nepal (Republic of),.2,.8,7.9,9.0,11.1,13.3,15.4,17.6,19.7,34.0,
"ITU, Global ICT Developments",New Zealand,47.4,62.7,80.5,81.2,81.6,82.8,85.5,88.2,88.5,90.8,
"ITU, Global ICT Developments",Nicaragua,1.0,2.6,10.0,10.6,13.5,15.5,17.6,19.7,24.6,27.9,
"ITU, Global ICT Developments",Oman,3.5,6.7,35.8,48.0,60.0,66.5,70.2,73.5,76.8,80.2,
"ITU, Global ICT Developments",Pakistan,,6.3,8.0,9.0,10.0,10.9,12.0,14.0,12.4,15.5,
"ITU, Global ICT Developments",Panama,6.6,11.5,40.1,42.7,40.3,44.0,44.9,51.2,54.0,57.9,
"ITU, Global ICT Developments",Papua New Guinea,.8,1.7,1.3,2.0,3.5,5.1,6.5,7.9,9.6,11.2,
"ITU, Global ICT Developments",Philippines,2.0,5.4,25.0,29.0,36.2,48.1,49.6,36.0,55.5,60.1,
"ITU, Global ICT Developments",Saint Lucia,5.1,21.6,32.5,34.0,34.8,36.0,39.7,42.5,46.7,50.8,
"ITU, Global ICT Developments",Samoa,.6,3.4,7.0,11.0,12.9,15.3,21.2,25.4,29.4,33.6,
"ITU, Global ICT Developments",San Marino,48.8,50.3,,49.6,,,,,,60.2,
"ITU, Global ICT Developments",Senegal,.4,4.8,8.0,9.8,10.8,13.1,17.7,27.0,25.7,46.0,
"ITU, Global ICT Developments",Afghanistan,,1.2,4.0,5.0,5.5,5.9,7.0,8.3,11.2,13.5,
"ITU, Global ICT Developments",South Sudan,,,,,,3.8,4.5,5.5,6.7,8.0,
"ITU, Global ICT Developments",Sudan,.0,1.3,16.7,17.5,21.0,22.7,24.6,26.6,14.1,30.9,
"ITU, Global ICT Developments",Suriname,2.5,6.4,31.6,32.0,34.7,37.4,40.1,42.8,45.4,48.9,
"ITU, Global ICT Developments",Syrian Arab Republic,.2,5.6,20.7,22.5,24.3,26.2,28.1,30.0,31.9,34.3,
"ITU, Global ICT Developments","Taiwan, Province of China",28.1,58.0,71.5,72.0,76.0,76.3,78.0,78.0,79.7,92.8,
"ITU, Global ICT Developments",Timor-Leste,,.1,3.0,4.0,7.0,11.0,17.5,23.0,25.2,27.5,
"ITU, Global ICT Developments",Togo,.8,1.8,3.0,3.5,4.0,4.5,5.7,7.1,11.3,12.4,
"ITU, Global ICT Developments",Trinidad & Tobago,7.7,29.0,48.5,55.2,59.5,63.8,65.1,69.2,73.3,77.3,
"ITU, Global ICT Developments",Tuvalu,5.2,,25.0,30.0,35.0,37.0,39.2,42.7,46.0,49.3,
"ITU, Global ICT Developments",Uganda,.2,1.7,12.5,13.0,14.1,15.5,16.9,17.8,21.9,23.7,
"ITU, Global ICT Developments",Ukraine,.7,3.7,23.3,28.7,35.3,41.0,46.2,48.9,53.0,58.9,
"ITU, Global ICT Developments",United States,43.1,68.0,71.7,69.7,74.7,71.4,73.0,74.6,85.5,87.3,
"ITU, Global ICT Developments",Uruguay,10.5,20.1,46.4,51.4,54.5,57.7,61.5,64.6,66.4,68.3,
"ITU, Global ICT Developments",Uzbekistan,.5,3.3,15.9,18.6,23.6,26.8,35.5,42.8,46.8,52.3,
"ITU, Global ICT Developments",Zimbabwe,.4,2.4,6.4,8.4,12.0,15.5,16.4,22.7,23.1,27.1,
"ITU, Global ICT Developments",Andorra,10.5,37.6,81.0,81.0,86.4,94.0,95.9,96.9,97.9,91.6,
"ITU, Global ICT Developments",Angola,.1,1.1,2.8,3.1,6.5,8.9,10.2,12.4,13.0,14.3,
"ITU, Global ICT Developments",Argentina,7.0,17.7,45.0,51.0,55.8,59.9,64.7,68.0,71.0,74.3,
"ITU, Global ICT Developments",Armenia,1.3,5.3,25.0,32.0,37.5,41.9,54.6,59.1,64.3,64.7,
"ITU, Global ICT Developments",Bahamas,8.0,25.0,43.0,65.0,71.7,72.0,76.9,78.0,80.0,85.0,
"ITU, Global ICT Developments",Barbados,4.0,52.5,65.1,66.5,71.2,71.8,75.2,76.1,79.5,81.8,
"ITU, Global ICT Developments",Bhutan,.4,3.8,13.6,14.4,15.6,22.4,30.3,39.8,41.8,48.1,
"ITU, Global ICT Developments",Bolivia (Plurinational State of),1.4,5.2,22.4,30.0,35.3,37.0,34.6,35.6,39.7,43.8,
"ITU, Global ICT Developments",Cameroon,.3,1.4,4.3,5.0,7.5,10.0,16.2,20.7,23.2,23.2,
"ITU, Global ICT Developments",Central African Rep.,.1,.3,2.0,2.2,3.0,3.4,3.6,3.8,4.0,4.3,
"ITU, Global ICT Developments",Chad,.0,.4,1.7,1.9,2.1,2.5,2.9,3.5,5.0,6.5,
"ITU, Global ICT Developments",Chile,16.6,31.2,45.0,52.2,55.1,58.0,61.1,76.6,83.6,82.3,
"ITU, Global ICT Developments",Comoros,.3,2.0,5.1,5.5,6.0,6.5,7.0,7.5,7.9,8.5,
"ITU, Global ICT Developments",Congo (Dem. Rep.),.0,.2,.7,1.2,1.7,2.2,3.0,3.8,6.2,8.6,
"ITU, Global ICT Developments",Djibouti,.2,1.0,6.5,7.0,8.3,9.5,10.7,11.9,13.1,55.7,
"ITU, Global ICT Developments",El Salvador,1.2,4.2,15.9,18.9,20.3,23.1,24.8,26.8,29.0,33.8,
"ITU, Global ICT Developments",Ethiopia,.0,.2,.8,1.1,2.9,4.6,7.7,13.9,15.4,18.6,
"ITU, Global ICT Developments",Falkland (Malvinas) Is.,58.6,84.0,95.8,96.4,96.9,96.9,97.6,98.3,99.0,,
"ITU, Global ICT Developments",Gambia,.9,3.8,9.2,10.9,12.4,14.0,15.6,16.5,18.5,19.8,
"ITU, Global ICT Developments",Grenada,4.1,20.5,27.0,30.0,32.0,35.0,51.6,53.8,55.9,59.1,
"ITU, Global ICT Developments",Guatemala,.7,5.7,10.5,12.3,16.0,19.7,23.4,28.8,34.5,65.0,
"ITU, Global ICT Developments",Guinea,.1,.5,1.0,2.0,3.1,4.5,6.4,8.2,9.8,18.0,
"ITU, Global ICT Developments",Honduras,1.2,6.5,11.1,15.9,18.1,17.8,19.1,27.1,29.5,31.7,
"ITU, Global ICT Developments","Hong Kong, China",27.8,56.9,72.0,72.2,72.9,74.2,79.9,84.9,87.5,89.4,
"ITU, Global ICT Developments",Iraq,,.9,2.5,5.0,7.1,9.2,13.2,58.0,21.2,49.4,
"ITU, Global ICT Developments",Jamaica,3.1,12.8,27.7,37.4,33.8,37.1,40.4,42.2,44.4,55.1,
"ITU, Global ICT Developments",Japan,30.0,66.9,78.2,79.1,79.5,88.2,89.1,91.1,93.2,84.6,
"ITU, Global ICT Developments",Kenya,.3,3.1,7.2,8.8,10.5,13.0,16.5,16.6,16.6,17.8,
"ITU, Global ICT Developments",Kyrgyzstan,1.0,10.5,16.3,17.5,19.8,23.0,28.3,30.2,37.0,38.0,
"ITU, Global ICT Developments",Lao P.D.R.,.1,.9,7.0,9.0,10.7,12.5,14.3,18.2,21.9,25.5,
"ITU, Global ICT Developments",Liberia,.0,,2.3,2.5,2.6,3.2,5.4,33.0,7.3,8.0,
"ITU, Global ICT Developments",Libya,.2,3.9,14.0,14.0,,16.5,17.8,19.0,20.3,21.8,
"ITU, Global ICT Developments",Liechtenstein,36.5,63.4,80.0,85.0,89.4,93.8,95.2,96.6,98.1,98.1,
"ITU, Global ICT Developments",Madagascar,.2,.6,1.7,1.9,2.3,3.0,3.7,4.2,4.7,9.8,
"ITU, Global ICT Developments",Malawi,.1,.4,2.3,3.3,4.4,5.1,5.8,5.3,11.5,13.8,
"ITU, Global ICT Developments",Mali,.1,.5,2.0,2.2,2.8,3.5,7.0,10.3,11.1,13.0,
"ITU, Global ICT Developments",Marshall Islands,1.5,3.9,7.0,10.0,12.5,14.0,16.8,19.3,29.8,38.7,
"ITU, Global ICT Developments",Monaco,42.2,55.5,75.0,80.3,87.0,90.7,92.4,93.4,95.2,97.1,
"ITU, Global ICT Developments",Mongolia,1.3,,10.2,12.5,16.4,17.7,19.9,22.5,22.3,23.7,
"ITU, Global ICT Developments",Mozambique,.1,.9,4.2,4.3,6.0,7.3,9.2,16.9,17.5,10.0,
"ITU, Global ICT Developments",Myanmar,,.1,.3,1.0,4.0,8.0,11.5,21.7,25.1,30.7,
"ITU, Global ICT Developments",Namibia,1.6,4.0,11.6,12.0,12.9,13.9,14.8,25.7,31.0,51.0,
